Incident Name,Incident Number,Classification,Region,County,Final Total Acres,Type of Date,General Cause,Specific Cause,Specific Sub Cause,Date,Time
Teitzel Rd. Fire,25,Classified,PACIFIC CASC,Lewis County,,First Attack,Children,Children 10-18,Fireworks,06/29/08,15:45
Teitzel Rd. Fire,25,Classified,PACIFIC CASC,Lewis County,,Started,Children,Children 10-18,Fireworks,06/29/08,3:30
Thompson Road,51,Classified,SOUTHEAST,Klickitat County,,Started,Lightning,None,None,06/29/08,18:00
Ukonom Complex,27,Out of State,,,,Started,Undetermined,None,None,06/29/08,9:43
WATERFRONT PARK,617,Unclassified,NORTHEAST,Spokane County,,Started,Miscellaneous,Fireworks other than children,None,06/29/08,15:28
231 MYSTERY,77,Classified,NORTHEAST,Stevens County,,Started,Miscellaneous,Other,None,06/28/08,12:30
231 MYSTERY,77,Classified,NORTHEAST,Stevens County,,First Attack,Miscellaneous,Other,None,06/28/08,13:00
DEER LAKE,840,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/28/08,18:14
Eaglemount 20,4,Classified,OLYMPIC,Jefferson County,,Started,Debris Burning,None,None,06/28/08,0:00
Eaglemount 20,4,Classified,OLYMPIC,Jefferson County,,First Attack,Debris Burning,None,None,06/28/08,18:15
Evans Creek Ohv Warriors,1512,Other Agency,SO PUGET,Pierce County,,Started,Recreation,Camper,Campfire,06/28/08,11:00
Fairley Lane Fire,24,Classified,PACIFIC CASC,Pacific County,,Started,Debris Burning,None,None,06/28/08,16:30
Fairley Lane Fire,24,Classified,PACIFIC CASC,Pacific County,,First Attack,Debris Burning,None,None,06/28/08,16:15
ORIN RICE BURNER,78,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,06/28/08,16:30
ORIN RICE BURNER,78,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,06/28/08,17:15
Snickers,42,Classified,SOUTHEAST,Klickitat County,,Started,Debris Burning,None,None,06/28/08,19:45
Snickers,42,Classified,SOUTHEAST,Klickitat County,,First Attack,Debris Burning,None,None,06/28/08,21:34
USFS-Balsa Root,1509,Other Agency,SOUTHEAST,Chelan County,,Started,Recreation,Camper,Campfire,06/28/08,10:00
5400 ROAD,14,Classified,SO PUGET,Mason County,,First Attack,Arson,Other,None,06/27/08,21:25
5400 ROAD,14,Classified,SO PUGET,Mason County,,Started,Arson,Other,None,06/27/08,22:00
BREVIERE FORK,76,Classified,NORTHEAST,Spokane County,,First Attack,Miscellaneous,Spontaneous Combustion,None,06/27/08,15:12
BREVIERE FORK,76,Classified,NORTHEAST,Spokane County,,Started,Miscellaneous,Spontaneous Combustion,None,06/27/08,15:00
NC Fire Support,19,Out of State,,,,Started,Undetermined,None,None,06/27/08,6:00
PINE PARTY,75,Classified,NORTHEAST,Spokane County,,Started,Recreation,Camper,Campfire,06/27/08,12:03
PINE PARTY,75,Classified,NORTHEAST,Spokane County,,First Attack,Recreation,Camper,Campfire,06/27/08,12:03
PNF July Lightning,18,Out of State,,,,Started,Undetermined,None,None,06/27/08,6:00
SAND CANYON TYRA,74,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,06/27/08,11:30
SAND CANYON TYRA,74,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,06/27/08,12:15
SCRIBNER,839,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,06/27/08,17:48
UN-Sky Meadows,605,Unclassified,SOUTHEAST,Kittitas County,,Started,Debris Burning,None,None,06/27/08,15:00
WRONG RIDGEWAY,838,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,06/27/08,14:32
CHEWELAH GOLF COURSE,837,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/26/08,9:19
COYOTE UGLY,73,Classified,NORTHEAST,Stevens County,,Started,Children,Children 10-18,Other,06/26/08,16:45
COYOTE UGLY,73,Classified,NORTHEAST,Stevens County,,First Attack,Children,Children 10-18,Other,06/26/08,18:11
HIKERS HEAVEN,72,Classified,NORTHEAST,Spokane County,,Started,Miscellaneous,Other,None,06/26/08,14:15
HIKERS HEAVEN,72,Classified,NORTHEAST,Spokane County,,First Attack,Miscellaneous,Other,None,06/26/08,14:35
MCKENZIE HILLTOP,71,Classified,NORTHEAST,Spokane County,,First Attack,Debris Burning,None,None,06/26/08,14:35
MCKENZIE HILLTOP,71,Classified,NORTHEAST,Spokane County,,Started,Debris Burning,None,None,06/26/08,14:00
Point Whitney,3,Classified,OLYMPIC,Jefferson County,,Started,Miscellaneous,Other,None,06/26/08,0:00
Point Whitney,3,Classified,OLYMPIC,Jefferson County,,First Attack,Miscellaneous,Other,None,06/26/08,8:45
Whiskeytown Complex,17,Out of State,,,,Started,Undetermined,None,None,06/26/08,14:05
Willow Grove,23,Classified,PACIFIC CASC,Cowlitz County,,Started,Recreation,Day Use,Campfire,06/26/08,8:30
Willow Grove,23,Classified,PACIFIC CASC,Cowlitz County,,First Attack,Recreation,Day Use,Campfire,06/26/08,23:00
Windy Point,41,Classified,SOUTHEAST,Yakima County,,First Attack,Recreation,Camper,Campfire,06/26/08,15:42
Windy Point,41,Classified,SOUTHEAST,Yakima County,,Started,Recreation,Camper,Campfire,06/26/08,14:20
Yuba River Complex,16,Out of State,,,,Started,Undetermined,None,None,06/26/08,11:48
BILL GULCH CAFE,616,Unclassified,NORTHEAST,Spokane County,,Started,Debris Burning,None,None,06/25/08,16:30
BRUCE ROAD,70,Classified,NORTHEAST,Spokane County,,First Attack,Debris Burning,None,None,06/25/08,16:19
BRUCE ROAD,70,Classified,NORTHEAST,Spokane County,,Started,Debris Burning,None,None,06/25/08,15:30
Beacon Rock,807,False Alarm,PACIFIC CASC,Skamania County,,Started,Undetermined,None,None,06/25/08,17:37
Blakely Power,4,Classified,NORTHWEST,San Juan County,,Started,Miscellaneous,Power Line,None,06/25/08,14:20
Blakely Power,4,Classified,NORTHWEST,San Juan County,,First Attack,Miscellaneous,Power Line,None,06/25/08,15:20
EAGLE RIDGE RUN,69,Classified,NORTHEAST,Spokane County,,First Attack,Debris Burning,None,None,06/25/08,15:30
Larson Lake Road,12,Classified,SO PUGET,Mason County,,Started,Recreation,Day Use,Campfire,06/25/08,18:00
Larson Lake Road,12,Classified,SO PUGET,Mason County,,First Attack,Recreation,Day Use,Campfire,06/25/08,18:06
Malloy,40,Classified,SOUTHEAST,Yakima County,,Started,Recreation,Camper,Campfire,06/25/08,15:34
Malloy,40,Classified,SOUTHEAST,Yakima County,,First Attack,Recreation,Camper,Campfire,06/25/08,16:26
NORTHEAST STAGING,800,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/25/08,12:00
ONC Support 2008,14,Out of State,,,,Started,Undetermined,None,None,06/25/08,11:56
SIX MILE,68,Classified,NORTHEAST,Stevens County,,First Attack,Miscellaneous,Vehicle Fire,None,06/25/08,12:52
SIX MILE,68,Classified,NORTHEAST,Stevens County,,Started,Miscellaneous,Vehicle Fire,None,06/25/08,12:35
Sunset Fire,22,Classified,PACIFIC CASC,Clark County,,First Attack,Miscellaneous,Fireworks other than children,None,06/25/08,15:00
Sunset Fire,22,Classified,PACIFIC CASC,Clark County,,Started,Miscellaneous,Fireworks other than children,None,06/25/08,16:30
ABC Misc,11,Out of State,,,,Started,Undetermined,None,None,06/24/08,8:00
ANGLIN,66,Classified,NORTHEAST,Okanogan County,,Started,Miscellaneous,Burning material from auto (other than thrown),None,06/24/08,16:00
ANGLIN,66,Classified,NORTHEAST,Okanogan County,,First Attack,Miscellaneous,Burning material from auto (other than thrown),None,06/24/08,16:45
Antilon,38,Classified,SOUTHEAST,Chelan County,,First Attack,Recreation,Camper,Campfire,06/24/08,11:00
Antilon,38,Classified,SOUTHEAST,Chelan County,,Started,Recreation,Camper,Campfire,06/24/08,1:00
CAMP MP22,1505,Other Agency,SO PUGET,King County,,Started,Recreation,Camper,Campfire,06/24/08,16:30
CHAMOKANE STREET,67,Classified,NORTHEAST,Stevens County,,Started,Children,Children 10-18,Fireworks,06/24/08,16:00
CHAMOKANE STREET,67,Classified,NORTHEAST,Stevens County,,First Attack,Children,Children 10-18,Fireworks,06/24/08,16:35
Cub Complex,15,Out of State,,,,Started,Undetermined,None,None,06/24/08,9:00
EAGLE RIDGE RUN,69,Classified,NORTHEAST,Spokane County,,Started,Debris Burning,None,None,06/24/08,18:00
Gladwin Beach,8,Classified,SO PUGET,Mason County,,Started,Undetermined,None,None,06/24/08,13:30
Gladwin Beach,8,Classified,SO PUGET,Mason County,,First Attack,Undetermined,None,None,06/24/08,13:10
HIGHWAY 2 FIRE,63,Classified,NORTHEAST,Spokane County,,Started,Miscellaneous,Electric Fence,None,06/24/08,12:30
HIGHWAY 2 FIRE,63,Classified,NORTHEAST,Spokane County,,First Attack,Miscellaneous,Electric Fence,None,06/24/08,12:55
Hell's Half Complex,12,Out of State,,,,Started,Undetermined,None,None,06/24/08,17:51
LANTZY ROAD,836,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/24/08,9:27
Morgan Creek,39,Classified,SOUTHEAST,Kittitas County,,First Attack,Miscellaneous,Other,None,06/24/08,15:06
Morgan Creek,39,Classified,SOUTHEAST,Kittitas County,,Started,Miscellaneous,Other,None,06/24/08,9:00
PETE'S RETREAT,64,Classified,NORTHEAST,Ferry County,,First Attack,Miscellaneous,Other,None,06/24/08,11:15
PETE'S RETREAT,64,Classified,NORTHEAST,Ferry County,,Started,Miscellaneous,Other,None,06/24/08,10:30
SPRING COULEE #2,65,Classified,NORTHEAST,Okanogan County,,Started,Recreation,Other,Other,06/24/08,14:00
SPRING COULEE #2,65,Classified,NORTHEAST,Okanogan County,,First Attack,Recreation,Other,Other,06/24/08,14:40
Siskiyou Complex,13,Out of State,,,,Started,Undetermined,None,None,06/24/08,13:45
15 MILE NOTHING,906,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/23/08,21:27
BANGS FIRE,61,Classified,NORTHEAST,Ferry County,,Started,Lightning,None,None,06/23/08,14:15
BANGS FIRE,61,Classified,NORTHEAST,Ferry County,,First Attack,Lightning,None,None,06/23/08,14:45
BISSEL TOE,833,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/23/08,17:06
BOGGS FIRE PIT,58,Classified,NORTHEAST,Stevens County,,Started,Recreation,Camper,Campfire,06/23/08,8:50
BOGGS FIRE PIT,58,Classified,NORTHEAST,Stevens County,,First Attack,Recreation,Camper,Campfire,06/23/08,9:00
BURNING DAHL,835,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,06/23/08,19:10
Canyon Complex,9,Out of State,,,,Started,Undetermined,None,None,06/23/08,15:49
ECHO LOCATION,832,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/23/08,8:45
Hot Wheels,2,Classified,OLYMPIC,Grays Harbor County,,Started,Arson,Pyromaniac,None,06/23/08,0:00
Lime Complex,10,Out of State,,,,Started,Undetermined,None,None,06/23/08,15:40
OLD SPRINGDALE HWY,834,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/23/08,18:40
ONC Preposition 2008,8,Out of State,,,,Started,Undetermined,None,None,06/23/08,6:00
Okay Corral,1,Classified,OLYMPIC,Grays Harbor County,,Started,Recreation,Other,Other,06/23/08,0:00
Okay Corral,1,Classified,OLYMPIC,Grays Harbor County,,First Attack,Recreation,Other,Other,06/23/08,19:00
Oliver Complex,7,Out of State,,,,Started,Undetermined,None,None,06/23/08,18:00
PRINCE WILLIAM STRIKE,60,Classified,NORTHEAST,Stevens County,,First Attack,Lightning,None,None,06/23/08,13:36
SILVER LANE,62,Classified,NORTHEAST,Spokane County,,Started,Children,Children 10-18,Other,06/23/08,17:40
SILVER LANE,62,Classified,NORTHEAST,Spokane County,,First Attack,Children,Children 10-18,Other,06/23/08,18:35
STRIKING JEANNETTE,59,Classified,NORTHEAST,Stevens County,,First Attack,Lightning,None,None,06/23/08,10:00
SWENSON COMMAND,615,Unclassified,NORTHEAST,Stevens County,,Started,Miscellaneous,Other,None,06/23/08,17:33
Story Road 3,13,Classified,SO PUGET,Mason County,,First Attack,Miscellaneous,Other,None,06/23/08,18:57
Story Road 3,13,Classified,SO PUGET,Mason County,,Started,Miscellaneous,Other,None,06/23/08,18:57
FA-Seaton Road,817,False Alarm,SOUTHEAST,Kittitas County,,Started,Undetermined,None,None,06/22/08,17:34
FIRST STRIKE HIKE,57,Classified,NORTHEAST,Stevens County,,First Attack,Lightning,None,None,06/22/08,18:30
HUEVOS RANCHEROS,614,Unclassified,NORTHEAST,Stevens County,,Started,Miscellaneous,Structure Fire,None,06/22/08,12:26
LONG LAKE HULK,56,Classified,NORTHEAST,Spokane County,,Started,Smoker,Other,None,06/22/08,14:00
LONG LAKE HULK,56,Classified,NORTHEAST,Spokane County,,First Attack,Smoker,Other,None,06/22/08,14:35
RAILROAD,613,Unclassified,NORTHEAST,Okanogan County,,Started,Miscellaneous,Other,None,06/22/08,11:05
Stephans Pond,37,Classified,SOUTHEAST,Chelan County,,Started,Recreation,Camper,Campfire,06/22/08,11:45
CAYUSE PEARS,831,False Alarm,NORTHEAST,Okanogan County,,Started,Undetermined,None,None,06/21/08,15:46
FA- E of Ronald,816,False Alarm,SOUTHEAST,Kittitas County,,Started,Undetermined,None,None,06/21/08,18:09
FA- Entiat Valley,815,False Alarm,SOUTHEAST,Chelan County,,Started,Undetermined,None,None,06/21/08,12:08
FIRST STRIKE HIKE,57,Classified,NORTHEAST,Stevens County,,Started,Lightning,None,None,06/21/08,21:00
HAPPY VALLEY HASKEL,55,Classified,NORTHEAST,Stevens County,,Started,Miscellaneous,Other,None,06/21/08,10:15
HAPPY VALLEY HASKEL,55,Classified,NORTHEAST,Stevens County,,First Attack,Miscellaneous,Other,None,06/21/08,10:30
Indians,35,Out of State,,,,Started,Undetermined,None,None,06/21/08,9:02
PRINCE WILLIAM STRIKE,60,Classified,NORTHEAST,Stevens County,,Started,Lightning,None,None,06/21/08,22:00
SANDY FIRE,1501,Other Agency,NORTHEAST,Pend Oreille County,,Started,Lightning,None,None,06/21/08,18:23
STRIKING JEANNETTE,59,Classified,NORTHEAST,Stevens County,,Started,Lightning,None,None,06/21/08,20:00
Stamp Mill,36,Classified,SOUTHEAST,Chelan County,,First Attack,Recreation,Camper,Campfire,06/21/08,21:01
Stamp Mill,36,Classified,SOUTHEAST,Chelan County,,Started,Recreation,Camper,Campfire,06/21/08,20:30
WDFW-Roza,1508,Other Agency,SOUTHEAST,Kittitas County,,Started,Recreation,Camper,Campfire,06/21/08,17:36
2ND CREEK,829,False Alarm,NORTHEAST,Ferry County,,Started,Undetermined,None,None,06/20/08,12:09
Annette Lake,1507,Other Agency,SOUTHEAST,King County,,Started,Arson,Other,None,06/20/08,10:30
CONCONULLY RANGE,54,Classified,NORTHEAST,Okanogan County,,First Attack,Recreation,Other,Other,06/20/08,11:40
CONCONULLY RANGE,54,Classified,NORTHEAST,Okanogan County,,Started,Recreation,Other,Other,06/20/08,11:25
FD-Blue Grade,1507,Other Agency,SOUTHEAST,Chelan County,,Started,Miscellaneous,Other,None,06/20/08,17:30
Headquarters Rd. Fire,605,Unclassified,PACIFIC CASC,Cowlitz County,,Started,Miscellaneous,Vehicle Fire,None,06/20/08,9:00
MELVILLE ROAD,828,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,06/20/08,9:10
MESSY BRAUSERS,612,Unclassified,NORTHEAST,Okanogan County,,Started,Children,Children 10-18,Campfire,06/20/08,17:39
Masterson Curve,35,Classified,SOUTHEAST,Kittitas County,,Started,Miscellaneous,Vehicle Fire,None,06/20/08,22:30
Masterson Curve,35,Classified,SOUTHEAST,Kittitas County,,First Attack,Miscellaneous,Vehicle Fire,None,06/20/08,22:40
Peoh Point,33,Classified,SOUTHEAST,Kittitas County,,First Attack,Recreation,Camper,Campfire,06/20/08,16:19
Peoh Point,33,Classified,SOUTHEAST,Kittitas County,,Started,Recreation,Camper,Campfire,06/20/08,15:35
Slide Creek ,21,Classified,PACIFIC CASC,Cowlitz County,,Started,Recreation,Other,Other,06/20/08,8:02
Slide Creek ,21,Classified,PACIFIC CASC,Cowlitz County,,First Attack,Recreation,Other,Other,06/20/08,9:39
Tacoma Power Fire,804,False Alarm,PACIFIC CASC,Lewis County,,Started,Undetermined,None,None,06/20/08,10:46
231 POWERLINE,826,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/19/08,14:02
BEDAVIRE FIRE,53,Classified,NORTHEAST,Spokane County,,Started,Children,Children 10-18,Fireworks,06/19/08,13:13
BEDAVIRE FIRE,53,Classified,NORTHEAST,Spokane County,,First Attack,Children,Children 10-18,Fireworks,06/19/08,13:20
FA - Coleman Creek,814,False Alarm,SOUTHEAST,Kittitas County,,Started,Undetermined,None,None,06/19/08,9:54
JERGENS,830,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,06/19/08,13:53
Metsger Road,20,Classified,PACIFIC CASC,Skamania County,,First Attack,Children,Children 10-18,Other,06/19/08,18:45
Metsger Road,20,Classified,PACIFIC CASC,Skamania County,,Started,Children,Children 10-18,Other,06/19/08,18:30
Reiter Fire,600,Unclassified,NORTHWEST,Snohomish County,,Started,Recreation,Day Use,Campfire,06/19/08,22:00
CLEAR LAKE CHILDREN,50,Classified,NORTHEAST,Spokane County,,Started,Children,Children 10-18,Incendiary,06/18/08,12:20
CLEAR LAKE CHILDREN,50,Classified,NORTHEAST,Spokane County,,First Attack,Children,Children 10-18,Incendiary,06/18/08,12:32
CORN,6,Out of State,,,,Started,Undetermined,None,None,06/18/08,16:00
FA -Stevens Pass,813,False Alarm,SOUTHEAST,Chelan County,,Started,Undetermined,None,None,06/18/08,15:40
MOLSON RAIL,52,Classified,NORTHEAST,Okanogan County,,Started,Miscellaneous,Other,None,06/18/08,18:00
MOLSON RAIL,52,Classified,NORTHEAST,Okanogan County,,First Attack,Miscellaneous,Other,None,06/18/08,21:00
NORTH DEER LAKE,51,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,06/18/08,14:30
NORTH DEER LAKE,51,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,06/18/08,15:10
291 PINES,49,Classified,NORTHEAST,Stevens County,,Started,Miscellaneous,Structure Fire,None,06/17/08,16:20
291 PINES,49,Classified,NORTHEAST,Stevens County,,First Attack,Miscellaneous,Structure Fire,None,06/17/08,16:35
ARDEN RUN,824,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/17/08,11:36
DEER CREEK,825,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,06/17/08,17:39
Goble Creek Fire,19,Classified,PACIFIC CASC,Cowlitz County,,Started,Arson,Other,None,06/17/08,19:00
Goble Creek Fire,19,Classified,PACIFIC CASC,Cowlitz County,,First Attack,Arson,Other,None,06/17/08,19:45
IONE 1,611,Unclassified,NORTHEAST,Pend Oreille County,,Started,Miscellaneous,Structure Fire,None,06/17/08,15:30
COOKIE CAMPFIRE,48,Classified,NORTHEAST,Okanogan County,,First Attack,Recreation,Camper,Campfire,06/16/08,12:45
DAISY BEAR,610,Unclassified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,06/16/08,14:00
Plum Street,604,Unclassified,PACIFIC CASC,Grays Harbor County,,Started,Miscellaneous,Other,None,06/16/08,10:40
Burch Mtn Campfire,31,Classified,SOUTHEAST,Chelan County,,Started,Recreation,Camper,Campfire,06/15/08,12:30
Burch Mtn Campfire,31,Classified,SOUTHEAST,Chelan County,,First Attack,Recreation,Camper,Campfire,06/15/08,13:00
COOKIE CAMPFIRE,48,Classified,NORTHEAST,Okanogan County,,Started,Recreation,Camper,Campfire,06/15/08,12:00
HIDDEN FALLS,47,Classified,NORTHEAST,Ferry County,,First Attack,Debris Burning,None,None,06/15/08,14:20
HIDDEN FALLS,47,Classified,NORTHEAST,Ferry County,,Started,Debris Burning,None,None,06/15/08,13:30
POKES RANCH,823,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/15/08,12:29
ST MOBE-Baird Springs,1504,Other Agency,SOUTHEAST,Grant County,,Started,Miscellaneous,Other,None,06/15/08,14:51
Spencer Road,32,Classified,SOUTHEAST,Klickitat County,,Started,Debris Burning,None,None,06/15/08,16:00
Spencer Road,32,Classified,SOUTHEAST,Klickitat County,,First Attack,Debris Burning,None,None,06/15/08,16:00
USFS-7100 Road,1506,Other Agency,SOUTHEAST,Chelan County,,Started,Miscellaneous,Other,None,06/15/08,14:30
USFS-Kaboom,1505,Other Agency,SOUTHEAST,Yakima County,,Started,Miscellaneous,Other,None,06/15/08,15:15
BULL RUN SLASH,45,Classified,NORTHEAST,Lincoln County,,Started,Debris Burning,None,None,06/14/08,11:30
BULL RUN SLASH,45,Classified,NORTHEAST,Lincoln County,,First Attack,Debris Burning,None,None,06/14/08,12:00
CHAMOKANE,46,Classified,NORTHEAST,Stevens County,,Started,Children,Children 10-18,Other,06/14/08,17:00
CHAMOKANE,46,Classified,NORTHEAST,Stevens County,,First Attack,Children,Children 10-18,Other,06/14/08,17:40
FA - Rock Creek,811,False Alarm,SOUTHEAST,Klickitat County,,Started,Undetermined,None,None,06/14/08,7:35
FA -Keechelas Lake,812,False Alarm,SOUTHEAST,Kittitas County,,Started,Undetermined,None,None,06/14/08,16:02
STRANDED SMOKEY,822,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/14/08,11:00
WHISKEY,5,Out of State,,,,Started,Undetermined,None,None,06/14/08,13:00
CHAPMAN AGAIN ,43,Classified,NORTHEAST,Spokane County,,Started,Children,Children 10-18,Fireworks,06/13/08,15:30
CHAPMAN AGAIN ,43,Classified,NORTHEAST,Spokane County,,First Attack,Children,Children 10-18,Fireworks,06/13/08,16:12
Fence Fire,18,Classified,PACIFIC CASC,Skamania County,,First Attack,Arson,Other,None,06/13/08,14:00
Fence Fire,18,Classified,PACIFIC CASC,Skamania County,,Started,Arson,Other,None,06/13/08,13:00
KIMBERLY DRIVE,44,Classified,NORTHEAST,Stevens County,,Started,Miscellaneous,Structure Fire,None,06/13/08,14:45
KIMBERLY DRIVE,44,Classified,NORTHEAST,Stevens County,,First Attack,Miscellaneous,Structure Fire,None,06/13/08,15:00
Mud Springs,30,Classified,SOUTHEAST,Kittitas County,,First Attack,Recreation,Camper,Campfire,06/13/08,19:00
Mud Springs,30,Classified,SOUTHEAST,Kittitas County,,Started,Recreation,Camper,Campfire,06/13/08,17:09
South Ops Staging,33,Out of State,,,,Started,Undetermined,None,None,06/13/08,16:34
WEST SHERMAN,801,False Alarm,SO PUGET,Kitsap County,,Started,Undetermined,None,None,06/13/08,23:00
FA - Wahkiacus,810,False Alarm,SOUTHEAST,Klickitat County,,Started,Undetermined,None,None,06/12/08,13:23
KNUTSON RANCH,821,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/12/08,14:33
RUTTER,42,Classified,NORTHEAST,Spokane County,,First Attack,Children,Children 10-18,Other,06/11/08,20:00
RUTTER,42,Classified,NORTHEAST,Spokane County,,Started,Children,Children 10-18,Other,06/11/08,19:00
CARLTON NO SEE UM,827,False Alarm,NORTHEAST,Okanogan County,,Started,Undetermined,None,None,06/09/08,8:39
Forgotten,28,Classified,SOUTHEAST,Klickitat County,,Started,Miscellaneous,Other,None,06/09/08,17:15
Forgotten,28,Classified,SOUTHEAST,Klickitat County,,First Attack,Miscellaneous,Other,None,06/09/08,18:30
Mima Rd ,805,False Alarm,PACIFIC CASC,Thurston County,,Started,Undetermined,None,None,06/09/08,16:00
Nissen Field,27,Classified,SOUTHEAST,Yakima County,,First Attack,Recreation,Camper,Campfire,06/09/08,20:26
Nissen Field,27,Classified,SOUTHEAST,Yakima County,,Started,Recreation,Camper,Campfire,06/09/08,9:06
Skittles,34,Classified,SOUTHEAST,Klickitat County,,Started,Debris Burning,None,None,06/08/08,18:50
Skittles,34,Classified,SOUTHEAST,Klickitat County,,First Attack,Debris Burning,None,None,06/08/08,16:50
MAZAMA 3 DAYS LATER,41,Classified,NORTHEAST,Okanogan County,,First Attack,Debris Burning,None,None,06/07/08,13:15
Keystone,75,Classified,SOUTHEAST,Chelan County,,Started,Recreation,Camper,Campfire,06/06/08,11:00
MAZAMA 3 DAYS LATER,41,Classified,NORTHEAST,Okanogan County,,Started,Debris Burning,None,None,06/04/08,10:00
CHAMOKANE PILE,40,Classified,NORTHEAST,Stevens County,,First Attack,Recreation,Hunter,Other,06/03/08,10:30
COLONEL SANDERS,820,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/03/08,15:02
FA- Sky Meadows,809,False Alarm,SOUTHEAST,Kittitas County,,Started,Undetermined,None,None,06/03/08,14:46
KNOX LIGHT,39,Classified,NORTHEAST,Okanogan County,,First Attack,Lightning,None,None,06/03/08,10:30
Burch Mtn ,26,Classified,SOUTHEAST,Chelan County,,Started,Recreation,Camper,Campfire,06/02/08,16:00
Burch Mtn ,26,Classified,SOUTHEAST,Chelan County,,First Attack,Recreation,Camper,Campfire,06/02/08,17:30
HUNSINGER STRIKE,38,Classified,NORTHEAST,Okanogan County,,Started,Lightning,None,None,06/02/08,0:01
HUNSINGER STRIKE,38,Classified,NORTHEAST,Okanogan County,,First Attack,Lightning,None,None,06/02/08,18:20
KNOX LIGHT,39,Classified,NORTHEAST,Okanogan County,,Started,Lightning,None,None,06/02/08,11:00
CHAMOKANE PILE,40,Classified,NORTHEAST,Stevens County,,Started,Recreation,Hunter,Other,06/01/08,12:00
FA - Snider Creek,808,False Alarm,SOUTHEAST,Klickitat County,,Started,Undetermined,None,None,06/01/08,16:44
MAHONEY ROAD,609,Unclassified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,06/01/08,15:32
Stacker Butte,25,Classified,SOUTHEAST,Klickitat County,,Started,Debris Burning,None,None,06/01/08,15:30
Stacker Butte,25,Classified,SOUTHEAST,Klickitat County,,First Attack,Debris Burning,None,None,06/01/08,16:06
Story Rd. 1,11,Classified,SO PUGET,Mason County,,Started,Miscellaneous,Other,None,06/01/08,18:00
Story Rd. 1,11,Classified,SO PUGET,Mason County,,First Attack,Miscellaneous,Other,None,06/01/08,18:00
BACK NINE BURN,36,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,05/31/08,12:30
BACK NINE BURN,36,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,05/31/08,11:30
Craig Rd.,10,Classified,SO PUGET,Mason County,,Started,Miscellaneous,Other,None,05/31/08,20:30
Craig Rd.,10,Classified,SO PUGET,Mason County,,First Attack,Miscellaneous,Other,None,05/31/08,20:33
DISHMAN,37,Classified,NORTHEAST,Spokane County,,First Attack,Children,Children 10-18,Incendiary,05/31/08,16:10
DISHMAN,37,Classified,NORTHEAST,Spokane County,,Started,Children,Children 10-18,Incendiary,05/31/08,15:30
FD-Starlite,1503,Other Agency,SOUTHEAST,Kittitas County,,Started,Debris Burning,None,None,05/31/08,13:00
Lakeview,24,Classified,SOUTHEAST,Chelan County,,Started,Debris Burning,None,None,05/31/08,14:00
Lakeview,24,Classified,SOUTHEAST,Chelan County,,First Attack,Debris Burning,None,None,05/31/08,14:30
Middle Fork #1,23,Classified,SOUTHEAST,Yakima County,,First Attack,Recreation,Camper,Campfire,05/31/08,11:30
Middle Fork #1,23,Classified,SOUTHEAST,Yakima County,,Started,Recreation,Camper,Campfire,05/31/08,11:00
Monster #3,22,Classified,SOUTHEAST,Skamania County,,First Attack,Recreation,Camper,Campfire,05/30/08,12:28
Monster #3,22,Classified,SOUTHEAST,Skamania County,,Started,Recreation,Camper,Campfire,05/30/08,12:13
Rose Valley,17,Classified,PACIFIC CASC,Cowlitz County,,Started,Debris Burning,None,None,05/30/08,12:50
